person_id	sex	first_name	last_name	year_of_birth	year_of_death	living_region	societal_rank	societal_rank_of_father	religion	level_of_education	letters_sent	letters_received
ALHOWARD	Female	ALETHEIA	HOWARD N. TALBOT	1585	1654	London	Nobility	Nobility	Catholic		3	21
ALYNDSAY	Male	Andrew	Lyndsay			Abroad	Merchant				0	1
AMAPLETOFT	Female	ANNA	MAPLETOFT			Other	Clergy (lower)	Clergy (lower)			2	0
AMARVELL	Male	ANDREW	MARVELL	1621	1678	London	Gentry (lower)	Clergy (lower)	Protestant	Higher	18	0
AMASHAM	Female	Abigail	Masham née Hill	1670	1734	Home counties	Nobility	Merchant			2	0
AMCAVE	Male	AMBROSE	CAVE		1568	Court	Gentry (upper)	Gentry (lower)		Higher	2	0
AMEAUTYS	Female	Anne	Meautys née Burnabye		1658	Abroad	Gentry (upper)	Gentry (upper)			9	0
AMHANOVER	Female	Amelia	Hanover	1783	1810	Other	Royalty	Royalty		Private	25	0
AMHANOVER2	Female	Amelia (Emily)	Hanover	1711	1786	Court	Royalty	Royalty			0	1
AMORE	Female	ALICE	MORE	1471		London	Gentry (upper)				2	1
AMURPHY	Male	Arthur	Murphy	1727	1805	London	Professional	Merchant		Higher	0	10
AMYLLAN	Male	Archie	Myllan			Abroad	Merchant				0	1
ANCAVE	Male	ANTHONY	CAVE		1558	London	Merchant	Gentry (lower)		Apprenticed	47	13
ANELSON	Female	Alice	Nelson			Other	Other				3	0
ANHOWARD	Female	ANNE	HOWARD N. DACRE	1553	1630	Home counties	Nobility	Nobility	Catholic		7	0
ANNE	Female	Anne	Stuart	1665	1714	Court	Royalty	Royalty		Private	20	0
ANNED	Female	Anne of Denmark		1574	1619	Court	Royalty	Royalty			0	4
ANNES	Female	Anne	S.								0	1
ANORTON	Male	John	Malbon (?)			Other	Clergy (lower)				1	0
ANOXINDEN	Female	Anne	Oxinden née Peyton	1613	1640	Home counties	Gentry (lower)	Gentry (upper)			0	3
ANRADCLIFFE	Female	Anne	Radcliffe née Calthorpe		1580		Nobility	Gentry (upper)			0	1
AOGARD	Female	ALICE	OGARD		1460		Gentry (upper)				1	0
AOXINDEN	Male	ADAM	OXINDEN	1622	1643	Other	Other	Gentry (lower)		Apprenticed	3	1
APADDON	Female	Alice	Paddon			Other					0	1
APAGET	Female	ANNE	PAGET		1587	London	Nobility	Gentry (lower)			1	0
APASTON	Female	AGNES	PASTON		1479	East Anglia	Gentry (lower)	Gentry (upper)			12	1
APERCIVAL	Male	ANTHONY	PERCIVAL		1647	Other	Gentry (upper)	Gentry (lower)			6	2
APHILIPS	Male	Ambrose	Philips	1675	1749		Gentry (lower)	Other		Higher	0	5
APINNEY	Male	Azariah	Pinney	1661	1720	Abroad	Gentry (lower)	Clergy (lower)			1	1
APLANTAGENET	Male	Arthur	Plantagenet	1472	1542		Nobility	Royalty			0	45
APLUMPTON	Female	Agnes	Plumpton née Gascoigne	1458	1504	North	Gentry (upper)	Gentry (upper)			14	0
APLUNKETT	Male	Alexander	Plunkett (Plunket)			Abroad	Gentry (upper)				0	1
APOPE	Male	Alexander	Pope	1688	1744	London	Professional	Merchant		Private	57	17
APORTER	Female	Ann Agnes	Porter	1750	1814	Other	Professional	Clergy (lower)		Private	22	0
ARADCLIFFE	Female	Alice	Radcliffe née Gerard				Gentry (lower)	Gentry (upper)			1	0
ARANDOLPH	Male	Ambrose	Randolph		1660		Gentry (lower)	Gentry (lower)		Higher	5	0
AROKEBY	Female	Ann	Rokeby		1531	North	Gentry (upper)	Gentry (upper)			0	2
AROUAUD	Female	Anne	Rouaud			Abroad	Gentry (lower)				0	3
ARWENTWORTH	Female	Arabella	Wentworth née Holles		1631		Nobility	Nobility			0	2
ASAUNDERS	Male	AMBROSE	SAUNDERS			Other	Merchant	Gentry (lower)		Apprenticed	28	0
ASEWARD	Female	Anna	Seward	1742	1809	Other	Gentry (lower)	Clergy (lower)		Private	0	2
ASEYMOUR	Female	ANNE	SEYMOUR N. STANHOPE	1497	1587		Nobility	Gentry (upper)			1	0
ASHUCKBURGH	Female	Anne	Shuckburgh			Other	Gentry (lower)				0	1
ASINCLAIR	Male	Andrew	Sinclair				Gentry (upper)				0	3
ASMITH	Male	Anthony Sr.	Smith			Other	Other				0	1
ASPALDING	Male	Augustine	Spalding			Abroad	Merchant				0	1
ASTONE	Male	Andrew	Stone	1703	1773	London	Gentry (lower)	Professional		Higher	17	2
ASTRINGER	Male	ANTHONY	STRINGER			East Anglia	Other				2	1
ASTUART	Female	ARABELLA	STUART	1575	1615	Court	Nobility	Nobility		Higher	65	6
ASUDELEY	Female	Alys (Alice)	Sudeley		1443	Other	Gentry (upper)	Gentry (upper)			1	0
ATOWNSHEND	Female	ANNE	TOWNSHEND	1573	1622	East Anglia	Gentry (upper)	Gentry (lower)			1	1
ATUCKNEY	Male	Anthony	Tuckney	1599	1670	Other	Clergy (lower)	Clergy (lower)		Higher	0	1
ATUTTOFT	Female	Anne	Tuttoft								0	1
AVAILANT	Male	Austin	Vailant			Home counties	Professional				0	1
AVERNON	Female	ANNE	VERNON				Gentry (upper)				1	0
AWALCOT	Female	Anne	Walcot née Docwra		1675	Other	Gentry (lower)	Gentry (lower)			0	2
AWANLEY	Female	Ann	Wanley		1722		Professional				0	2
AWEDDERBURN	Male	Alexander	Wedderburn	1733	1805	London	Nobility	Professional		Higher	0	1
AWENTWORTH	Female	Anne	Wentworth née Johnson	1670	1754	London	Nobility	Gentry (upper)			41	0
AWILLOUGHBY	Female	ANNE	WILLOUGHBY N. FILOTT				Gentry (upper)				1	0
AWILMOT	Female	Anne	Wilmot née St. John		1696	Other	Nobility	Gentry (upper)			0	1
AWILSON	Male	Andrew	Wilson			North	Gentry (upper)				0	1
AWOODNOTH	Male	ARTHUR	WOODNOTH	1590	1650	London	Other			Apprenticed	3	2
AWYDESLADE	Female	Annys (Agnes)	Wydeslade née Wynnard, later Stonor		1481	Other	Gentry (upper)	Gentry (lower)			1	2
AYBACON	Male	ANTHONY	BACON	1558	1601	Court	Gentry (lower)	Gentry (upper)		Higher	2	0
AYFITZHERBERT	Male	Alleyne	Fitzherbert	1753	1839	Court	Nobility	Gentry (lower)		Higher	6	0
AZOUCH	Male	Allan	Zouch			London	Gentry (upper)				0	1
B1GAWDY	Male	Bassingbourne Sr.	Gawdy	1532	1590	East Anglia	Gentry (lower)	Gentry (lower)		Higher	0	19
B2GAWDY	Male	Bassingbourne Jr.	Gawdy	1560	1606	East Anglia	Gentry (upper)	Gentry (lower)		Higher	0	76
BALL	Male		Ball			Other	Other				0	1
BBASE	Male	BERNARD	BASE			East Anglia	Professional				1	0
BBELL	Male	Beaupré	Bell	1704	1741	East Anglia	Gentry (lower)	Gentry (lower)		Higher	3	2
BBERIDGE	Male	Basil	Beridge								0	1
BCALTHORPE	Male	BARTRAM	CALTHORPE		1596	East Anglia	Professional			Higher	2	0
BDIXWELL	Male	Basil	Dixwell		1642	Home counties	Gentry (upper)	Gentry (lower)			0	1
BDUPPA	Male	BRIAN	DUPPA	1589	1662	Other	Clergy (upper)	Merchant	Anglican	Higher	39	38
BELCHIER	Male		Belchier			London	Other				0	2
BELIZABETH	Female	Elizabeth	Stuart	1596	1662	Court	Royalty	Royalty	Protestant		68	2
BELL	Male		Bell			Home counties					0	1
BFARIE	Male	Benjamin	Farie		1616	Abroad	Merchant				1	3
BFERRAR	Female	BATSHEBA	FERRAR N. OWEN		1659	Other	Gentry (lower)		Anglican		1	0
BHARLEY	Female	Brilliana	Harley née Conway	1598	1643	Other	Gentry (upper)	Nobility	Protestant		61	0
BHEMINGE	Male	Benjamin	Heminge								0	2
BHESKETH	Male	Bartholomew	Hesketh								0	1
BHIGDON	Male	BRIAN	HIGDON		1539	North	Clergy (upper)			Higher	2	0
BHOSKYNS	Female	BENEDICTA	HOSKYNS N. MOYLE	1575	1625	Other	Gentry (lower)				4	25
BHOSSE	Male	BARTHOLOMEW	HOSSE			Other	Other				4	0
BIRCH	Male		Birch				Professional				0	1
BJONSON	Male	BEN	JONSON	1572	1637	London	Professional	Other			16	0
BLACKBEARD	Male		Blackbeard				Gentry (lower)				0	16
BLAKE	Female	Mary?	Blake			Other	Other				0	1
BLANGTON	Male	Bennet	Langton	1736	1801	Other	Professional	Clergy (lower)		Higher	0	11
BLONG	Female	Bridget	Long			London	Other				2	0
BNEWLAND	Male	BENJAMIN	NEWLAND	1633	1699	Other	Gentry (upper)				2	0
BRANDOLPH	Male	Bernard	Randolph			London	Professional				1	0
BROCLIFFE	Male	Brian	Rocliffe		1496	North	Gentry (lower)	Gentry (lower)		Higher	10	0
BSAUNDERS	Male	BLASE	SAUNDERS		1581	London	Merchant	Gentry (lower)			1	0
BSTMICHEL	Male	Balthasar	St. Michel	1640			Professional	Professional			17	76
BTHROCKMORTON	Male	BAYNHAM	THROCKMORTON			Other	Gentry (lower)				3	0
BWARNER	Male	BARHOLOMEW	WARNER			Other	Merchant	Merchant		Apprenticed	11	1
BWILLIS	Male	Browne	Willis	1682	1760	Home counties	Gentry (lower)	Gentry (lower)		Higher	18	2
BWITTS	Male	Broome	Witts			Other	Other				0	1
BWOODCOCK	Male	Benjamin	Woodcock				Other				0	1
C1MONTAGU	Male	Charles	Montagu	1661	1715	London	Nobility	Gentry (lower)		Higher	0	8
C2BURNEY	Male	Charles Jr.	Burney	1757	1817	London	Professional	Professional		Higher	0	13
C2HEYDON	Male	Christopher	Heydon				Gentry (lower)	Gentry (upper)			0	1
C2MONTAGU	Male	Charles	Montagu	1662	1722		Nobility	Nobility		Higher	0	10
C2PASTON	Male	Clement	Paston	1515	1598			Gentry (upper)			0	1
CABBOT	Male	Charles	Abbot	1757	1829	London	Nobility	Clergy (lower)		Higher	4	0
CAFRANCIS	Female	Charlotte Ann	Francis née Burney	1761	1838		Gentry (lower)	Professional			0	10
CALYTTELTON	Female	CATHERINE	LYTTELTON N. FAIRFAX		1662	Other	Gentry (upper)	Gentry (upper)			1	0
CAMP	Female	Widow	Camp				Other				1	0
CASTON	Female	Catherine	Aston née Thimelby	1618	1658	Other	Gentry (lower)	Gentry (lower)			0	2
CAUSTEN	Female	Cassandra	Austen	1773	1845	Other	Clergy (lower)	Clergy (lower)			0	26
CBANKS	Female	Catherine	Banks		1736	London	Gentry (lower)				1	8
CBRAGANZA	Female	Catherine	Braganza	1638	1705	Court	Royalty	Royalty			0	1
CBRANDON	Male	CHARLES	BRANDON	1484	1545	Court	Nobility	Gentry (upper)			10	0
CBRETEN	Male	CHRISTOPHER	BRETEN			Other	Professional				13	4
CBROWNE	Male	Charles	Browne	1733	1809	East Anglia	Other				0	3
CBRUNSWICK	Female	Caroline Amelia Elizabeth	Brunswick-Wolfenbüttel	1768	1821	London	Royalty	Royalty		Private	0	2
CBURNEY	Male	Charles	Burney	1726	1814	London	Professional	Professional		Higher	50	45
CCALTHORPE	Male	CHARLES	CALTHORPE		1616	East Anglia	Gentry (lower)			Higher	4	0
CCHARLES	Male	Carolus	Charles			North	Other				5	0
CCLAVERING	Female	Catherine	Clavering née Yorke	1682	1723	North	Gentry (lower)	Gentry (lower)			25	0
CCOOPER	Male	Charles	Cooper	1727			Clergy (lower)			Higher	0	1
CCRACKENTHORPE	Male	CHRISTOPHER	CRACKENTHORPE			North	Gentry (lower)				1	0
CDACRE	Male	CHRISTOPHER	DACRE			North	Nobility	Nobility			1	0
CDAUNE	Female	CECILY	DAUNE								1	0
CDAVY	Male	Charles	Davy	1723	1797	East Anglia	Clergy (lower)			Higher	0	2
CDOUGLAS	Female	Catherine	Douglas née Hyde	1701	1777	Other	Nobility	Nobility			6	0
CEWARTON	Female	Charlotte Elizabeth	Warton	1761	1841		Gentry (lower)	Professional			0	7
CFARMER	Male	Christopher	Farmer			London					0	1
CFINCH	Female	Charlotte	Finch née Fermor	1725	1813	Court	Gentry (upper)	Nobility		Private	0	1
CFITZROY	Male	Charles	Fitzroy	1683	1757	Other	Nobility	Nobility			0	1
CFLEETWOOD	Male	Charles	Fleetwood	1618	1692	London	Gentry (lower)	Gentry (upper)		Higher	0	4
CFORD	Male	Charles	Ford	1682	1743	Abroad	Professional	Gentry (lower)		Higher	0	4
CFOX	Male	Charles James	Fox	1749	1806	London	Gentry (lower)	Nobility		Higher	0	1
CGAWDY	Male	Charles	Gawdy	1618	1685	East Anglia		Gentry (lower)		Higher	0	1
CGOFFE	Male	Christopher	Goffe				Other				0	1
CGOODFELLOW	Male	CHARLES	GOODFELLOW			Other	Merchant				5	0
CGREENWOOD	Male	Charles	Greenwood	1747	1832						0	2
CGREVILLE	Male	Charles Francis	Greville	1749	1809	London	Gentry (upper)	Nobility		Higher	0	2
CHAMBERS	Male	Dr	Chambers			Home counties	Clergy (lower)				0	1
CHANOVER	Female	Charlotte Augusta Matilda	Hanover	1766	1828	Abroad	Royalty	Royalty		Private	24	0
CHARLES1	Male	Charles I	Stuart	1600	1649	Court	Royalty	Royalty	Anglican	Higher	26	4
CHARLES2	Male	Charles II	Stuart	1630	1685	Court	Royalty	Royalty		Higher	43	4
CHARLESL	Male	Charles Louis		1616	1680	Abroad	Royalty	Royalty		Higher	0	34
CHATTON	Male	CHRISTOPHER	HATTON	1540	1591	Court	Gentry (upper)	Gentry (lower)		Higher	1	8
CHAVILAND	Female	Caroline Lee	Haviland	1727	1751		Gentry (lower)				0	3
CHEYDON	Male	CHRISTOPHER	HEYDON	1519	1579	East Anglia	Gentry (upper)		Protestant		2	0
CHLYTTELTON	Male	Charles	Lyttelton	1629	1716	Other	Gentry (upper)	Gentry (upper)			37	0
CHOWARD	Male	Charles	Howard	1536	1624	Court	Nobility	Nobility			0	3
CHYRNE	Male	CLEMENT	HYRNE			East Anglia	Merchant				1	0
CJOHNSON	Female	Catharine	Johnson	1767	1821		Gentry (lower)	Gentry (lower)			0	2
CJONES	Male	Conquest	Jones			London	Other				0	3
CKENN	Male	CHRISTOPHER	KENN			Other	Gentry (lower)				1	0
CKIMBERLEY	Male	Charles	Kimberley	1691	1754	Other	Professional			Higher	0	1
CLENNOX	Male	Charles	Lennox	1701	1750	Other	Nobility	Nobility		Private	47	74
CLEWIS	Female	Charlotte	Lewis née Cotterell		1796	Home counties	Gentry (lower)				0	4
CLINCOLN	Male	Charles	Lincoln			Abroad	Other	Other			0	2
CLONG	Male	Charles	Long	1760	1838	London	Nobility	Merchant		Higher	0	4
CLOTHWORKERS	Male		Clothworkers			London	Merchant				0	1
CLOWTHER	Male	CHRISTOPHER	LOWTHER	1611	1644	North	Gentry (upper)	Gentry (upper)		Higher	58	9
CLUTWIDGE	Female	Catherine	Lutwidge née Harvey		1810		Professional				0	1
CMARESCOE	Male	Charles	Marescoe	1633	1670	London	Merchant			Apprenticed	0	23
CMASSYE	Male	CHARLES	MASSYE		1635	London	Other				1	0
CMECKLENBURG	Female	Charlotte Sophia	Mecklenburg-Strelitz	1744	1818	Court	Royalty	Nobility		Private	0	6
CMICKLETON	Male	Christopher	Mickleton	1612	1669	North	Professional			Higher	2	0
CMONCK	Male	Christopher	Monck	1653	1688	London	Nobility	Nobility			0	1
CMORRISON	Male	CHARLES	MORRISON	1549	1599	Home counties	Professional			Higher	1	0
CNICHOLS	Male	CHARLES	NICHOLS		1680	Other	Clergy (lower)	Professional	Protestant		13	0
COCKWORTHY	Female		Cockworthy			Other	Gentry (lower)				0	1
COLEMAN	Male		Coleman			Other	Other				0	1
COMMISSIONERS		The	Commissioners of the Admiralty								0	1
COOK	Male	Mr	Cook			Home counties	Professional				0	1
COURTNEY	Male		Courtney								0	1
CPARR	Female	Catherine	Parr	1512	1548	Court	Royalty	Gentry (upper)		Higher	1	1
CPASTON	Male	CLEMENT	PASTON	1442	1479	London	Gentry (lower)	Gentry (lower)		Higher	6	0
CPERCY	Female	Catherine	Percy		1542	North	Nobility				0	1
CPERROT	Male	Charles	Perrot		1677	London	Professional	Gentry (lower)		Higher	0	1
CPORTEN	Female	Catherine	Porten	1705	1786	London	Gentry (lower)	Gentry (lower)		Private	0	4
CPRICE	Male	Cadwallader (?)	Price				Clergy (lower)				0	1
CR2HATTON	Male	Christopher 2	Hatton	1605	1670	Other	Nobility	Gentry (upper)		Higher	0	1
CR3HATTON	Male	Christopher	Hatton	1632	1706	Other	Nobility	Nobility			0	137
CRHATTON	Male	CHRISTOPHER	HATTON		1619	Other	Gentry (upper)				1	0
CRIGBY	Male	Christopher	Rigby			Other	Gentry (lower)				0	1
CROBERTS	Female	Catherine	Roberts			Other	Gentry (lower)				2	0
CRUTCHFIELD	Male		Crutchfield			London	Merchant				0	1
CSACKVILLE	Male	CHARLES	SACKVILLE	1638	1706	Court	Nobility	Nobility			2	0
CSANDERSON	Male	Charles	Sanderson			London	Professional			Higher	3	0
CSENHOUSE	Female	Catherine	Senhouse née Wood	1731		North	Gentry (lower)				0	1
CSHATTON	Male	Charles	Hatton				Gentry (lower)	Nobility			40	0
CSHERER	Male	Charles	Sherer			Abroad	Merchant				0	1
CSHIPLEY	Female	Catherine Louisa (?)	Shipley	1760	1840	London	Clergy (upper)	Clergy (upper)			0	1
CTALBOT	Female	Catherine	Talbot	1721	1770	London	Clergy (lower)	Clergy (lower)		Private	2	0
CTEMPLE	Female	Christian	Temple née Leveson	1596	1655	Home counties	Gentry (upper)	Gentry (upper)			0	3
CTHROCKMORTON	Male	Clement	Throckmorton		1572	Other	Gentry (lower)		Protestant		0	4
CTUNSTALL	Male	Cuthbert	Tunstall	1474	1559	Court	Clergy (upper)	Gentry (lower)	Catholic	Higher	1	0
CWANDESFORD	Male	CHRISTOPHER	WANDESFORD	1592	1640	North	Gentry (lower)	Gentry (upper)		Higher	9	7
CWATSON	Male	CLEMENT	WATSON				Professional				2	0
CWILMOT	Male	Charles	Wilmot				Nobility	Nobility			0	2
CWWENTWORTH	Male	Charles	Watson-Wentworth	1730	1782	North	Nobility	Nobility		Higher	0	1
CWYCHE	Male	CYRIL	WYCHE	1632	1707	Court	Gentry (upper)	Gentry (upper)		Higher	9	1
D1HOLLES	Male	Denzell 1	Holles	1538	1590	Other	Gentry (lower)	Gentry (upper)			0	1
D1TWINING	Male	Daniel	Twining	1748	1765	London	Merchant	Merchant		Secondary	0	10
D2HOLLES	Male	Denzell 2	Holles	1599	1680	Other	Nobility	Nobility		Higher	0	2
D2TWINING	Male	Daniel	Twining	1777	1853	Other	Clergy (lower)	Merchant		Higher	0	5
DALISON	Female	Dorothea	Alison née Gregory	1754	1830	Abroad	Clergy (lower)	Professional			0	1
DAXTELL	Male	Daniel	Axtell	1622	1660	Home counties	Professional	Merchant	Protestant	Apprenticed	0	1
DBACON	Female	Dorothy	Bacon née Smith née Hopton	1570	1629	East Anglia	Gentry (upper)	Gentry (upper)	Protestant		14	0
DBAXTER	Male	Dunney	Baxter			Home counties	Other				0	1
DBROOKE	Male	Duke	Brooke								0	1
DBROWNE	Female	DOROTHY	BROWNE N. MILEHAM	1621	1685	East Anglia	Gentry (upper)	Gentry (lower)			25	0
DBULLIKER	Female	DOWSABELLA	BULLIKER				Gentry (lower)				1	0
DCARLETON	Male	Dudley	Carleton	1573	1632	Court	Nobility	Gentry (lower)		Higher	2	48
DDEFOE	Male	Daniel	Defoe	1659	1731	London	Professional	Professional		Secondary	52	0
DDRAPER	Male	Daniel	Draper	1726	1805	Abroad	Gentry (lower)	Gentry (lower)			0	1
DDRURY	Male	DRU	DRURY	1531	1617	East Anglia	Gentry (upper)	Gentry (upper)	Protestant		3	0
DEACLES	Male		Deacles			Home counties	Professional				0	1
DFELTON	Female	DOROTHY	FELTON N. GAWDY	1596		East Anglia	Gentry (upper)	Gentry (upper)			4	0
DFINCH	Male	Daniel	Finch	1647	1729	Other	Nobility	Nobility		Higher	4	1
DFLEMING	Male	Daniel	Fleming	1633	1701	North	Gentry (upper)	Gentry (lower)		Higher	122	297
DGARRICK	Male	David	Garrick	1717	1779	London	Gentry (lower)	Professional		Secondary	97	4
DGAWDY	Female	Dorothy	Gawdy née Bacon			East Anglia	Gentry (upper)	Gentry (upper)			0	1
DGAYLARD	Male	Doctor	Gaylard			London	Other			Apprenticed	0	2
DGIBBON	Female	Dorothea	Gibbon née Patton	1715	1796	Other	Gentry (lower)	Gentry (lower)			0	16
DHASTINGS	Female	Dorothy	Hastings				Nobility				0	1
DHOXINDEN	Male	HENRY OF DEANE	OXINDEN	1614	1683	Other	Gentry (upper)	Gentry (upper)			28	3
DLEWIS	Male	David	Lewis	1520	1584	London	Professional	Clergy (lower)		Higher	0	1
DLLOYD	Male	Daniel	Lloyd								0	1
DMURRAY	Male	David	Murray	1727	1796	Abroad	Nobility	Nobility			0	1
DOSBORNE	Female	Dorothy	Temple née Osborne	1627	1695	Other	Gentry (upper)	Gentry (upper)			92	3
DPLUMPTON	Female	Dorothy	Plumpton			North	Gentry (upper)	Gentry (upper)			2	0
DRAKE	Male	Mr	Drake			Home counties	Professional				0	1
DRANDOLPH	Female	Dorothe	Randolph née Wilson		1675		Gentry (lower)	Gentry (lower)			12	0
